,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,,
A,1,32,39,15,,10,18,,16,,10,77,18,172,2,31,1,101,67,124,12,24,7,,27,1,805,0.0805
B,8,,,,58,,,,6,2,,21,1,,11,,,6,5,,25,,,,19,,162,0.0162
C,44,,12,,55,1,,46,15,,8,16,,,59,1,,7,1,38,16,,1,,,,320,0.0320
D,45,18,4,10,39,12,2,3,57,1,,7,9,5,37,7,1,10,32,39,8,4,9,,6,,365,0.0365
E,131,11,64,107,39,23,20,15,40,1,2,46,43,120,46,32,14,154,145,80,7,16,41,17,17,,1231,0.1231
F,21,2,9,1,25,14,1,6,21,1,,10,3,2,38,3,,4,8,42,11,1,4,,1,,228,0.0228
G,11,2,1,1,32,3,1,16,10,,,4,1,3,23,1,,21,7,13,8,,2,,1,,161,0.0161
H,84,1,2,1,251,2,,5,72,,,3,1,2,46,1,,8,3,22,2,,7,,1,,514,0.0514
I,18,7,55,16,37,27,10,,,,8,39,32,169,63,3,,21,106,88,,14,1,1,,4,719,0.0719
J,,,,,2,,,,,,,,,,4,,,,,,4,,,,,,10,0.0010
K,,,,,28,,,,8,,,,,3,3,,,,2,1,,,3,,3,,51,0.0051
L,34,7,8,28,72,5,1,,57,1,3,55,4,1,28,2,2,2,12,19,8,2,5,,47,,403,0.0403
M,56,9,1,2,48,,,1,26,,,,5,3,28,16,,,6,6,13,,2,,3,,225,0.0225
N,54,7,31,118,64,8,75,9,37,3,3,10,7,9,65,7,,5,51,110,12,4,15,1,14,,719,0.0719
O,9,18,18,16,3,94,3,3,13,,5,17,44,145,23,29,,113,37,53,96,13,36,,4,2,794,0.0794
P,21,1,,,40,,,7,8,,,29,,,28,26,,42,3,14,7,,1,,2,,229,0.0229
Q,,,,,,,,,,,,,,,,,,,,,20,,,,,,20,0.0020
R,57,4,14,16,148,6,6,3,77,1,11,12,15,12,54,8,,18,39,63,6,5,10,,17,,602,0.0602
S,75,13,21,6,84,13,6,30,42,,2,6,14,19,71,24,2,6,41,121,30,2,27,,4,,659,0.0659
T,56,14,6,9,94,5,1,315,128,,,12,14,8,111,8,,30,32,53,22,4,16,,21,,959,0.0959
U,18,5,17,11,11,1,12,2,5,,,28,9,33,2,17,,49,42,45,,,,1,1,1,310,0.0310
V,15,,,,53,,,,19,,,,,,6,,,,,,,,,,,,93,0.0093
W,32,,3,4,30,1,,48,37,,,4,1,10,17,2,,1,3,6,1,1,2,,,,203,0.0203
X,3,,5,,1,,,,4,,,,,,1,4,,,,1,1,,,,,,20,0.0020
Y,11,11,10,4,12,3,5,5,18,,,6,4,3,28,7,,5,17,21,1,3,14,,,,188,0.0188
Z,,,,,5,,,,2,,,1,,,,,,,,,,,,,,1,9,0.0009
,804,162,320,365,1231,228,161,514,718,10,52,403,225,719,794,229,20,603,659,959,310,93,203,20,188,9,,1.0000
